Date,Probe,Type,Value
2022-05-04T12:40:00Z,SOL-TNK-3A,Amps,0
2022-05-04T12:40:00Z,LIGHT-TNK-3A,Amps,0
2022-05-04T12:40:00Z,HEATER-1W,pwr,1
2022-05-04T12:40:00Z,PWRHD-1W,pwr,60
2022-05-04T12:40:00Z,SOL-TNK-1W,pwr,1
2022-05-04T12:40:00Z,LIGHT-TNK-1W,pwr,1
2022-05-04T12:40:00Z,HEATER-3W,pwr,0
2022-05-04T12:40:00Z,PWRHD-3W,pwr,58
2022-05-04T12:40:00Z,SOL-TNK-3W,pwr,1
2022-05-04T12:40:00Z,LIGHT-TNK-3W,pwr,1
2022-05-04T12:40:00Z,Volt_6,volts,117
2022-05-04T12:40:00Z,S4FLW,gph,0
2022-05-04T12:40:00Z,N4FLW,gph,11.3
2022-05-04T12:40:00Z,D4FLW,gph,0
2022-05-04T12:40:00Z,Tmp-3,Temp,13.4
2022-05-04T12:40:00Z,pH-3,pH,7.78
2022-05-04T12:40:00Z,S2FLW,gph,0
2022-05-04T12:40:00Z,N2FLW,gph,13.5
2022-05-04T12:40:00Z,D2FLW,gph,0
2022-05-04T12:40:00Z,S3FLW,gph,0
2022-05-04T12:40:00Z,N3FLW,gph,12.3
2022-05-04T12:40:00Z,D3FLW,gph,0
2022-05-04T12:40:00Z,Tmp-2,Temp,13.3
2022-05-04T12:40:00Z,pH-2,pH,7.8
2022-05-04T12:40:00Z,Tmp-4,Temp,13.5
2022-05-04T12:40:00Z,pH-4,pH,7.93
2022-05-04T12:50:00Z,Tmp-1,Temp,14.8
2022-05-04T12:50:00Z,pH-1,pH,7.81
2022-05-04T12:50:00Z,Salt-1,Cond,27.8
2022-05-04T12:50:00Z,S1FLW,gph,0
2022-05-04T12:50:00Z,N1FLW,gph,6.8
2022-05-04T12:50:00Z,D1FLW,gph,0
2022-05-04T12:50:00Z,HEATER-2A,Amps,0
2022-05-04T12:50:00Z,PWRHD-2A,Amps,0.8
2022-05-04T12:50:00Z,SOL-TNK-2A,Amps,0
2022-05-04T12:50:00Z,LIGHT-TNK-2A,Amps,0
2022-05-04T12:50:00Z,HEATER-4A,Amps,0
2022-05-04T12:50:00Z,PWRHD-4A,Amps,0.8
2022-05-04T12:50:00Z,SOL-TNK-4A,Amps,0
2022-05-04T12:50:00Z,LIGHT-TNK-4A,Amps,0
2022-05-04T12:50:00Z,HEATER-2W,pwr,0
2022-05-04T12:50:00Z,PWRHD-2W,pwr,58
2022-05-04T12:50:00Z,SOL-TNK-2W,pwr,0
2022-05-04T12:50:00Z,LIGHT-TNK-2W,pwr,0
2022-05-04T12:50:00Z,HEATER-4W,pwr,1
2022-05-04T12:50:00Z,PWRHD-4W,pwr,57
2022-05-04T12:50:00Z,SOL-TNK-4W,pwr,0
2022-05-04T12:50:00Z,LIGHT-TNK-4W,pwr,1
2022-05-04T12:50:00Z,Volt_4,volts,117
2022-05-04T12:50:00Z,S1-FM1,Amps,0
2022-05-04T12:50:00Z,N1-FM1,Amps,0.8
2022-05-04T12:50:00Z,D1-FM1,Amps,0
2022-05-04T12:50:00Z,LIGHT-TNK-1A,Amps,0
2022-05-04T12:50:00Z,HEATER-3A,Amps,0
2022-05-04T12:50:00Z,PWRHD-3A,Amps,0.8
2022-05-04T12:50:00Z,SOL-TNK-3A,Amps,0
2022-05-04T12:50:00Z,LIGHT-TNK-3A,Amps,0
2022-05-04T12:50:00Z,HEATER-1W,pwr,0
2022-05-04T12:50:00Z,PWRHD-1W,pwr,59
2022-05-04T12:50:00Z,SOL-TNK-1W,pwr,1
2022-05-04T12:50:00Z,LIGHT-TNK-1W,pwr,1
2022-05-04T12:50:00Z,HEATER-3W,pwr,0
2022-05-04T12:50:00Z,PWRHD-3W,pwr,58
2022-05-04T12:50:00Z,SOL-TNK-3W,pwr,1
2022-05-04T12:50:00Z,LIGHT-TNK-3W,pwr,1
2022-05-04T12:50:00Z,Volt_6,volts,117
2022-05-04T12:50:00Z,S4FLW,gph,0
2022-05-04T12:50:00Z,N4FLW,gph,11.1
2022-05-04T12:50:00Z,D4FLW,gph,0
2022-05-04T12:50:00Z,Tmp-3,Temp,13.5
2022-05-04T12:50:00Z,pH-3,pH,7.8
2022-05-04T12:50:00Z,S2FLW,gph,0
2022-05-04T12:50:00Z,N2FLW,gph,13
2022-05-04T12:50:00Z,D2FLW,gph,0
2022-05-04T12:50:00Z,S3FLW,gph,0
2022-05-04T12:50:00Z,N3FLW,gph,12
2022-05-04T12:50:00Z,D3FLW,gph,0
2022-05-04T12:50:00Z,Tmp-2,Temp,13.4
2022-05-04T12:50:00Z,pH-2,pH,7.81
2022-05-04T12:50:00Z,Tmp-4,Temp,13.6
2022-05-04T12:50:00Z,pH-4,pH,7.94
2022-05-04T13:00:00Z,Tmp-1,Temp,14.9
2022-05-04T13:00:00Z,pH-1,pH,7.8
2022-05-04T13:00:00Z,Salt-1,Cond,27.8
2022-05-04T13:00:00Z,S1FLW,gph,0
2022-05-04T13:00:00Z,N1FLW,gph,6.6
2022-05-04T13:00:00Z,D1FLW,gph,0
2022-05-04T13:00:00Z,HEATER-2A,Amps,0
2022-05-04T13:00:00Z,PWRHD-2A,Amps,0.8
2022-05-04T13:00:00Z,SOL-TNK-2A,Amps,0
2022-05-04T13:00:00Z,LIGHT-TNK-2A,Amps,0
2022-05-04T13:00:00Z,HEATER-4A,Amps,0
2022-05-04T13:00:00Z,PWRHD-4A,Amps,0.8
2022-05-04T13:00:00Z,SOL-TNK-4A,Amps,0
2022-05-04T13:00:00Z,LIGHT-TNK-4A,Amps,0
2022-05-04T13:00:00Z,HEATER-2W,pwr,1
2022-05-04T13:00:00Z,PWRHD-2W,pwr,58
2022-05-04T13:00:00Z,SOL-TNK-2W,pwr,0
2022-05-04T13:00:00Z,LIGHT-TNK-2W,pwr,0
2022-05-04T13:00:00Z,HEATER-4W,pwr,1
2022-05-04T13:00:00Z,PWRHD-4W,pwr,57
2022-05-04T13:00:00Z,SOL-TNK-4W,pwr,0
2022-05-04T13:00:00Z,LIGHT-TNK-4W,pwr,0
2022-05-04T13:00:00Z,Volt_4,volts,117
2022-05-04T13:00:00Z,S1-FM1,Amps,0
2022-05-04T13:00:00Z,N1-FM1,Amps,0.8
2022-05-04T13:00:00Z,D1-FM1,Amps,0
2022-05-04T13:00:00Z,LIGHT-TNK-1A,Amps,0
2022-05-04T13:00:00Z,HEATER-3A,Amps,0
2022-05-04T13:00:00Z,PWRHD-3A,Amps,0.8
2022-05-04T13:00:00Z,SOL-TNK-3A,Amps,0
2022-05-04T13:00:00Z,LIGHT-TNK-3A,Amps,0
2022-05-04T13:00:00Z,HEATER-1W,pwr,0
2022-05-04T13:00:00Z,PWRHD-1W,pwr,60
2022-05-04T13:00:00Z,SOL-TNK-1W,pwr,1
2022-05-04T13:00:00Z,LIGHT-TNK-1W,pwr,1
2022-05-04T13:00:00Z,HEATER-3W,pwr,0
2022-05-04T13:00:00Z,PWRHD-3W,pwr,58
2022-05-04T13:00:00Z,SOL-TNK-3W,pwr,1
2022-05-04T13:00:00Z,LIGHT-TNK-3W,pwr,0
2022-05-04T13:00:00Z,Volt_6,volts,117
2022-05-04T13:00:00Z,S4FLW,gph,0
2022-05-04T13:00:00Z,N4FLW,gph,11.2
2022-05-04T13:00:00Z,D4FLW,gph,0
2022-05-04T13:00:00Z,Tmp-3,Temp,13.6
2022-05-04T13:00:00Z,pH-3,pH,7.81
2022-05-04T13:00:00Z,S2FLW,gph,0
2022-05-04T13:00:00Z,N2FLW,gph,13.1
2022-05-04T13:00:00Z,D2FLW,gph,0
2022-05-04T13:00:00Z,S3FLW,gph,0
2022-05-04T13:00:00Z,N3FLW,gph,12.2
2022-05-04T13:00:00Z,D3FLW,gph,0
2022-05-04T13:00:00Z,Tmp-2,Temp,13.5
2022-05-04T13:00:00Z,pH-2,pH,7.8
2022-05-04T13:00:00Z,Tmp-4,Temp,13.6
2022-05-04T13:00:00Z,pH-4,pH,7.95
2022-05-04T13:10:00Z,Tmp-1,Temp,15
2022-05-04T13:10:00Z,pH-1,pH,7.8
2022-05-04T13:10:00Z,Salt-1,Cond,27.8
2022-05-04T13:10:00Z,S1FLW,gph,0
2022-05-04T13:10:00Z,N1FLW,gph,6.7
2022-05-04T13:10:00Z,D1FLW,gph,0
2022-05-04T13:10:00Z,HEATER-2A,Amps,0
2022-05-04T13:10:00Z,PWRHD-2A,Amps,0.8
2022-05-04T13:10:00Z,SOL-TNK-2A,Amps,0
2022-05-04T13:10:00Z,LIGHT-TNK-2A,Amps,0
2022-05-04T13:10:00Z,HEATER-4A,Amps,0
2022-05-04T13:10:00Z,PWRHD-4A,Amps,0.8
2022-05-04T13:10:00Z,SOL-TNK-4A,Amps,0
2022-05-04T13:10:00Z,LIGHT-TNK-4A,Amps,0
2022-05-04T13:10:00Z,HEATER-2W,pwr,0
2022-05-04T13:10:00Z,PWRHD-2W,pwr,57
2022-05-04T13:10:00Z,SOL-TNK-2W,pwr,0
2022-05-04T13:10:00Z,LIGHT-TNK-2W,pwr,0
2022-05-04T13:10:00Z,HEATER-4W,pwr,1
2022-05-04T13:10:00Z,PWRHD-4W,pwr,56
2022-05-04T13:10:00Z,SOL-TNK-4W,pwr,0
2022-05-04T13:10:00Z,LIGHT-TNK-4W,pwr,0
2022-05-04T13:10:00Z,Volt_4,volts,116
2022-05-04T13:10:00Z,S1-FM1,Amps,0
2022-05-04T13:10:00Z,N1-FM1,Amps,0.8
2022-05-04T13:10:00Z,D1-FM1,Amps,0
2022-05-04T13:10:00Z,LIGHT-TNK-1A,Amps,0
2022-05-04T13:10:00Z,HEATER-3A,Amps,0
2022-05-04T13:10:00Z,PWRHD-3A,Amps,0.7
2022-05-04T13:10:00Z,SOL-TNK-3A,Amps,0
2022-05-04T13:10:00Z,LIGHT-TNK-3A,Amps,0
2022-05-04T13:10:00Z,HEATER-1W,pwr,1
2022-05-04T13:10:00Z,PWRHD-1W,pwr,59
2022-05-04T13:10:00Z,SOL-TNK-1W,pwr,1
2022-05-04T13:10:00Z,LIGHT-TNK-1W,pwr,1
2022-05-04T13:10:00Z,HEATER-3W,pwr,0
2022-05-04T13:10:00Z,PWRHD-3W,pwr,57
2022-05-04T13:10:00Z,SOL-TNK-3W,pwr,1
2022-05-04T13:10:00Z,LIGHT-TNK-3W,pwr,0
2022-05-04T13:10:00Z,Volt_6,volts,116
2022-05-04T13:10:00Z,S4FLW,gph,0
2022-05-04T13:10:00Z,N4FLW,gph,11.2
2022-05-04T13:10:00Z,D4FLW,gph,0
2022-05-04T13:10:00Z,Tmp-3,Temp,13.6
2022-05-04T13:10:00Z,pH-3,pH,7.82
2022-05-04T13:10:00Z,S2FLW,gph,0
2022-05-04T13:10:00Z,N2FLW,gph,13.3
2022-05-04T13:10:00Z,D2FLW,gph,0
2022-05-04T13:10:00Z,S3FLW,gph,0
2022-05-04T13:10:00Z,N3FLW,gph,12.2
2022-05-04T13:10:00Z,D3FLW,gph,0
2022-05-04T13:10:00Z,Tmp-2,Temp,13.5
2022-05-04T13:10:00Z,pH-2,pH,7.8
2022-05-04T13:10:00Z,Tmp-4,Temp,13.7
2022-05-04T13:10:00Z,pH-4,pH,7.96
2022-05-04T13:20:00Z,Tmp-1,Temp,15
2022-05-04T13:20:00Z,pH-1,pH,7.8
2022-05-04T13:20:00Z,Salt-1,Cond,27.9
2022-05-04T13:20:00Z,S1FLW,gph,0
2022-05-04T13:20:00Z,N1FLW,gph,6.8
2022-05-04T13:20:00Z,D1FLW,gph,0
2022-05-04T13:20:00Z,HEATER-2A,Amps,0
2022-05-04T13:20:00Z,PWRHD-2A,Amps,0.8
2022-05-04T13:20:00Z,SOL-TNK-2A,Amps,0
2022-05-04T13:20:00Z,LIGHT-TNK-2A,Amps,0
2022-05-04T13:20:00Z,HEATER-4A,Amps,0
2022-05-04T13:20:00Z,PWRHD-4A,Amps,0.7
2022-05-04T13:20:00Z,SOL-TNK-4A,Amps,0
2022-05-04T13:20:00Z,LIGHT-TNK-4A,Amps,0
2022-05-04T13:20:00Z,HEATER-2W,pwr,0
2022-05-04T13:20:00Z,PWRHD-2W,pwr,57
2022-05-04T13:20:00Z,SOL-TNK-2W,pwr,0
2022-05-04T13:20:00Z,LIGHT-TNK-2W,pwr,0
2022-05-04T13:20:00Z,HEATER-4W,pwr,1
2022-05-04T13:20:00Z,PWRHD-4W,pwr,56
2022-05-04T13:20:00Z,SOL-TNK-4W,pwr,0
2022-05-04T13:20:00Z,LIGHT-TNK-4W,pwr,0
2022-05-04T13:20:00Z,Volt_4,volts,115
2022-05-04T13:20:00Z,S1-FM1,Amps,0
2022-05-04T13:20:00Z,N1-FM1,Amps,0.8
2022-05-04T13:20:00Z,D1-FM1,Amps,0
2022-05-04T13:20:00Z,LIGHT-TNK-1A,Amps,0
2022-05-04T13:20:00Z,HEATER-3A,Amps,0
2022-05-04T13:20:00Z,PWRHD-3A,Amps,0.7
2022-05-04T13:20:00Z,SOL-TNK-3A,Amps,0
2022-05-04T13:20:00Z,LIGHT-TNK-3A,Amps,0
2022-05-04T13:20:00Z,HEATER-1W,pwr,1
2022-05-04T13:20:00Z,PWRHD-1W,pwr,58
2022-05-04T13:20:00Z,SOL-TNK-1W,pwr,1
2022-05-04T13:20:00Z,LIGHT-TNK-1W,pwr,1
2022-05-04T13:20:00Z,HEATER-3W,pwr,0
2022-05-04T13:20:00Z,PWRHD-3W,pwr,57
2022-05-04T13:20:00Z,SOL-TNK-3W,pwr,1
2022-05-04T13:20:00Z,LIGHT-TNK-3W,pwr,1
2022-05-04T13:20:00Z,Volt_6,volts,116
2022-05-04T13:20:00Z,S4FLW,gph,0
2022-05-04T13:20:00Z,N4FLW,gph,11.2
2022-05-04T13:20:00Z,D4FLW,gph,0
2022-05-04T13:20:00Z,Tmp-3,Temp,13.7
2022-05-04T13:20:00Z,pH-3,pH,7.83
2022-05-04T13:20:00Z,S2FLW,gph,0
2022-05-04T13:20:00Z,N2FLW,gph,13.4
2022-05-04T13:20:00Z,D2FLW,gph,0
2022-05-04T13:20:00Z,S3FLW,gph,0
2022-05-04T13:20:00Z,N3FLW,gph,12.2
2022-05-04T13:20:00Z,D3FLW,gph,0
2022-05-04T13:20:00Z,Tmp-2,Temp,13.6
2022-05-04T13:20:00Z,pH-2,pH,7.8
2022-05-04T13:20:00Z,Tmp-4,Temp,13.7
2022-05-04T13:20:00Z,pH-4,pH,7.97
2022-05-04T13:30:00Z,Tmp-1,Temp,15.1
2022-05-04T13:30:00Z,pH-1,pH,7.8
2022-05-04T13:30:00Z,Salt-1,Cond,27.9
2022-05-04T13:30:00Z,S1FLW,gph,0
2022-05-04T13:30:00Z,N1FLW,gph,6.6
2022-05-04T13:30:00Z,D1FLW,gph,0
2022-05-04T13:30:00Z,HEATER-2A,Amps,0
2022-05-04T13:30:00Z,PWRHD-2A,Amps,0.8
2022-05-04T13:30:00Z,SOL-TNK-2A,Amps,0
2022-05-04T13:30:00Z,LIGHT-TNK-2A,Amps,0
2022-05-04T13:30:00Z,HEATER-4A,Amps,0
2022-05-04T13:30:00Z,PWRHD-4A,Amps,0.8
2022-05-04T13:30:00Z,SOL-TNK-4A,Amps,0
2022-05-04T13:30:00Z,LIGHT-TNK-4A,Amps,0
2022-05-04T13:30:00Z,HEATER-2W,pwr,1
2022-05-04T13:30:00Z,PWRHD-2W,pwr,58
2022-05-04T13:30:00Z,SOL-TNK-2W,pwr,0
2022-05-04T13:30:00Z,LIGHT-TNK-2W,pwr,0
2022-05-04T13:30:00Z,HEATER-4W,pwr,1
2022-05-04T13:30:00Z,PWRHD-4W,pwr,57
2022-05-04T13:30:00Z,SOL-TNK-4W,pwr,0
2022-05-04T13:30:00Z,LIGHT-TNK-4W,pwr,1
2022-05-04T13:30:00Z,Volt_4,volts,117
2022-05-04T13:30:00Z,S1-FM1,Amps,0
2022-05-04T13:30:00Z,N1-FM1,Amps,0.8
2022-05-04T13:30:00Z,D1-FM1,Amps,0
2022-05-04T13:30:00Z,LIGHT-TNK-1A,Amps,0
2022-05-04T13:30:00Z,HEATER-3A,Amps,0
2022-05-04T13:30:00Z,PWRHD-3A,Amps,0.8
2022-05-04T13:30:00Z,SOL-TNK-3A,Amps,0
2022-05-04T13:30:00Z,LIGHT-TNK-3A,Amps,0
2022-05-04T13:30:00Z,HEATER-1W,pwr,0
2022-05-04T13:30:00Z,PWRHD-1W,pwr,58
2022-05-04T13:30:00Z,SOL-TNK-1W,pwr,1
2022-05-04T13:30:00Z,LIGHT-TNK-1W,pwr,1
2022-05-04T13:30:00Z,HEATER-3W,pwr,0
2022-05-04T13:30:00Z,PWRHD-3W,pwr,57
2022-05-04T13:30:00Z,SOL-TNK-3W,pwr,1
2022-05-04T13:30:00Z,LIGHT-TNK-3W,pwr,0
2022-05-04T13:30:00Z,Volt_6,volts,116
2022-05-04T13:30:00Z,S4FLW,gph,0
2022-05-04T13:30:00Z,N4FLW,gph,11.1
2022-05-04T13:30:00Z,D4FLW,gph,0
2022-05-04T13:30:00Z,Tmp-3,Temp,13.7
2022-05-04T13:30:00Z,pH-3,pH,7.83
2022-05-04T13:30:00Z,S2FLW,gph,0
2022-05-04T13:30:00Z,N2FLW,gph,13
2022-05-04T13:30:00Z,D2FLW,gph,0
2022-05-04T13:30:00Z,S3FLW,gph,0
2022-05-04T13:30:00Z,N3FLW,gph,12
2022-05-04T13:30:00Z,D3FLW,gph,0
2022-05-04T13:30:00Z,Tmp-2,Temp,13.7
2022-05-04T13:30:00Z,pH-2,pH,7.78
2022-05-04T13:30:00Z,Tmp-4,Temp,13.8
2022-05-04T13:30:00Z,pH-4,pH,7.97
2022-05-04T13:40:00Z,Tmp-1,Temp,15.2
2022-05-04T13:40:00Z,pH-1,pH,7.8
2022-05-04T13:40:00Z,Salt-1,Cond,27.8
2022-05-04T13:40:00Z,S1FLW,gph,0
2022-05-04T13:40:00Z,N1FLW,gph,6.7
2022-05-04T13:40:00Z,D1FLW,gph,0
2022-05-04T13:40:00Z,HEATER-2A,Amps,0
2022-05-04T13:40:00Z,PWRHD-2A,Amps,0.8
2022-05-04T13:40:00Z,SOL-TNK-2A,Amps,0
2022-05-04T13:40:00Z,LIGHT-TNK-2A,Amps,0
2022-05-04T13:40:00Z,HEATER-4A,Amps,0
2022-05-04T13:40:00Z,PWRHD-4A,Amps,0.8
2022-05-04T13:40:00Z,SOL-TNK-4A,Amps,0
2022-05-04T13:40:00Z,LIGHT-TNK-4A,Amps,0
2022-05-04T13:40:00Z,HEATER-2W,pwr,0
2022-05-04T13:40:00Z,PWRHD-2W,pwr,58
2022-05-04T13:40:00Z,SOL-TNK-2W,pwr,0
2022-05-04T13:40:00Z,LIGHT-TNK-2W,pwr,0
2022-05-04T13:40:00Z,HEATER-4W,pwr,1
2022-05-04T13:40:00Z,PWRHD-4W,pwr,57
2022-05-04T13:40:00Z,SOL-TNK-4W,pwr,0
2022-05-04T13:40:00Z,LIGHT-TNK-4W,pwr,1
2022-05-04T13:40:00Z,Volt_4,volts,116
2022-05-04T13:40:00Z,S1-FM1,Amps,0
2022-05-04T13:40:00Z,N1-FM1,Amps,0.8
2022-05-04T13:40:00Z,D1-FM1,Amps,0
2022-05-04T13:40:00Z,LIGHT-TNK-1A,Amps,0
2022-05-04T13:40:00Z,HEATER-3A,Amps,0
2022-05-04T13:40:00Z,PWRHD-3A,Amps,0.8
2022-05-04T13:40:00Z,SOL-TNK-3A,Amps,0
2022-05-04T13:40:00Z,LIGHT-TNK-3A,Amps,0
2022-05-04T13:40:00Z,HEATER-1W,pwr,0
2022-05-04T13:40:00Z,PWRHD-1W,pwr,59
2022-05-04T13:40:00Z,SOL-TNK-1W,pwr,1
2022-05-04T13:40:00Z,LIGHT-TNK-1W,pwr,1
2022-05-04T13:40:00Z,HEATER-3W,pwr,0
2022-05-04T13:40:00Z,PWRHD-3W,pwr,58
2022-05-04T13:40:00Z,SOL-TNK-3W,pwr,1
2022-05-04T13:40:00Z,LIGHT-TNK-3W,pwr,1
2022-05-04T13:40:00Z,Volt_6,volts,117
2022-05-04T13:40:00Z,S4FLW,gph,0
2022-05-04T13:40:00Z,N4FLW,gph,11.3
2022-05-04T13:40:00Z,D4FLW,gph,0
2022-05-04T13:40:00Z,Tmp-3,Temp,13.7
2022-05-04T13:40:00Z,pH-3,pH,7.83
2022-05-04T13:40:00Z,S2FLW,gph,0
2022-05-04T13:40:00Z,N2FLW,gph,13.3
2022-05-04T13:40:00Z,D2FLW,gph,0
2022-05-04T13:40:00Z,S3FLW,gph,0
2022-05-04T13:40:00Z,N3FLW,gph,12.2
2022-05-04T13:40:00Z,D3FLW,gph,0
2022-05-04T13:40:00Z,Tmp-2,Temp,13.7
2022-05-04T13:40:00Z,pH-2,pH,7.8
2022-05-04T13:40:00Z,Tmp-4,Temp,13.8
2022-05-04T13:40:00Z,pH-4,pH,7.98
2022-05-04T13:50:00Z,Tmp-1,Temp,15.2
2022-05-04T13:50:00Z,pH-1,pH,7.81
2022-05-04T13:50:00Z,Salt-1,Cond,27.9
2022-05-04T13:50:00Z,S1FLW,gph,0
2022-05-04T13:50:00Z,N1FLW,gph,6.8
2022-05-04T13:50:00Z,D1FLW,gph,0
2022-05-04T13:50:00Z,HEATER-2A,Amps,0
2022-05-04T13:50:00Z,PWRHD-2A,Amps,0.8
2022-05-04T13:50:00Z,SOL-TNK-2A,Amps,0
2022-05-04T13:50:00Z,LIGHT-TNK-2A,Amps,0
2022-05-04T13:50:00Z,HEATER-4A,Amps,0
2022-05-04T13:50:00Z,PWRHD-4A,Amps,0.7
2022-05-04T13:50:00Z,SOL-TNK-4A,Amps,0
2022-05-04T13:50:00Z,LIGHT-TNK-4A,Amps,0
2022-05-04T13:50:00Z,HEATER-2W,pwr,1
2022-05-04T13:50:00Z,PWRHD-2W,pwr,57
2022-05-04T13:50:00Z,SOL-TNK-2W,pwr,0
2022-05-04T13:50:00Z,LIGHT-TNK-2W,pwr,0
2022-05-04T13:50:00Z,HEATER-4W,pwr,1
2022-05-04T13:50:00Z,PWRHD-4W,pwr,56
2022-05-04T13:50:00Z,SOL-TNK-4W,pwr,0
2022-05-04T13:50:00Z,LIGHT-TNK-4W,pwr,0
2022-05-04T13:50:00Z,Volt_4,volts,116
2022-05-04T13:50:00Z,S1-FM1,Amps,0
2022-05-04T13:50:00Z,N1-FM1,Amps,0.8
2022-05-04T13:50:00Z,D1-FM1,Amps,0
2022-05-04T13:50:00Z,LIGHT-TNK-1A,Amps,0
2022-05-04T13:50:00Z,HEATER-3A,Amps,0
2022-05-04T13:50:00Z,PWRHD-3A,Amps,0.7
2022-05-04T13:50:00Z,SOL-TNK-3A,Amps,0
2022-05-04T13:50:00Z,LIGHT-TNK-3A,Amps,0
2022-05-04T13:50:00Z,HEATER-1W,pwr,0
2022-05-04T13:50:00Z,PWRHD-1W,pwr,58
2022-05-04T13:50:00Z,SOL-TNK-1W,pwr,1
2022-05-04T13:50:00Z,LIGHT-TNK-1W,pwr,1
2022-05-04T13:50:00Z,HEATER-3W,pwr,0
2022-05-04T13:50:00Z,PWRHD-3W,pwr,57
2022-05-04T13:50:00Z,SOL-TNK-3W,pwr,1
2022-05-04T13:50:00Z,LIGHT-TNK-3W,pwr,1
2022-05-04T13:50:00Z,Volt_6,volts,116
2022-05-04T13:50:00Z,S4FLW,gph,0
2022-05-04T13:50:00Z,N4FLW,gph,11.3
2022-05-04T13:50:00Z,D4FLW,gph,0
2022-05-04T13:50:00Z,Tmp-3,Temp,13.8
2022-05-04T13:50:00Z,pH-3,pH,7.84
2022-05-04T13:50:00Z,S2FLW,gph,0
2022-05-04T13:50:00Z,N2FLW,gph,13.6
2022-05-04T13:50:00Z,D2FLW,gph,0
2022-05-04T13:50:00Z,S3FLW,gph,0
2022-05-04T13:50:00Z,N3FLW,gph,12.3
2022-05-04T13:50:00Z,D3FLW,gph,0
2022-05-04T13:50:00Z,Tmp-2,Temp,13.7
2022-05-04T13:50:00Z,pH-2,pH,7.8
2022-05-04T13:50:00Z,Tmp-4,Temp,13.9
2022-05-04T13:50:00Z,pH-4,pH,7.98
2022-05-04T14:00:00Z,Tmp-1,Temp,15.3
2022-05-04T14:00:00Z,pH-1,pH,7.81
2022-05-04T14:00:00Z,Salt-1,Cond,27.9
2022-05-04T14:00:00Z,S1FLW,gph,0
2022-05-04T14:00:00Z,N1FLW,gph,6.9
2022-05-04T14:00:00Z,D1FLW,gph,0
2022-05-04T14:00:00Z,HEATER-2A,Amps,0
2022-05-04T14:00:00Z,PWRHD-2A,Amps,0.8
2022-05-04T14:00:00Z,SOL-TNK-2A,Amps,0
2022-05-04T14:00:00Z,LIGHT-TNK-2A,Amps,0
2022-05-04T14:00:00Z,HEATER-4A,Amps,0
2022-05-04T14:00:00Z,PWRHD-4A,Amps,0.8
2022-05-04T14:00:00Z,SOL-TNK-4A,Amps,0
2022-05-04T14:00:00Z,LIGHT-TNK-4A,Amps,0
2022-05-04T14:00:00Z,HEATER-2W,pwr,0
2022-05-04T14:00:00Z,PWRHD-2W,pwr,57
2022-05-04T14:00:00Z,SOL-TNK-2W,pwr,0
2022-05-04T14:00:00Z,LIGHT-TNK-2W,pwr,0
2022-05-04T14:00:00Z,HEATER-4W,pwr,1
2022-05-04T14:00:00Z,PWRHD-4W,pwr,57
2022-05-04T14:00:00Z,SOL-TNK-4W,pwr,0
2022-05-04T14:00:00Z,LIGHT-TNK-4W,pwr,1
2022-05-04T14:00:00Z,Volt_4,volts,117
2022-05-04T14:00:00Z,S1-FM1,Amps,0
2022-05-04T14:00:00Z,N1-FM1,Amps,0.8
2022-05-04T14:00:00Z,D1-FM1,Amps,0
2022-05-04T14:00:00Z,LIGHT-TNK-1A,Amps,0
2022-05-04T14:00:00Z,HEATER-3A,Amps,0
2022-05-04T14:00:00Z,PWRHD-3A,Amps,0.8
2022-05-04T14:00:00Z,SOL-TNK-3A,Amps,0
2022-05-04T14:00:00Z,LIGHT-TNK-3A,Amps,0
2022-05-04T14:00:00Z,HEATER-1W,pwr,0
2022-05-04T14:00:00Z,PWRHD-1W,pwr,59
2022-05-04T14:00:00Z,SOL-TNK-1W,pwr,1
2022-05-04T14:00:00Z,LIGHT-TNK-1W,pwr,1
2022-05-04T14:00:00Z,HEATER-3W,pwr,0
2022-05-04T14:00:00Z,PWRHD-3W,pwr,58
2022-05-04T14:00:00Z,SOL-TNK-3W,pwr,1
2022-05-04T14:00:00Z,LIGHT-TNK-3W,pwr,1
2022-05-04T14:00:00Z,Volt_6,volts,117
2022-05-04T14:00:00Z,S4FLW,gph,0
2022-05-04T14:00:00Z,N4FLW,gph,11.3
2022-05-04T14:00:00Z,D4FLW,gph,0
2022-05-04T14:00:00Z,Tmp-3,Temp,13.9
2022-05-04T14:00:00Z,pH-3,pH,7.84
2022-05-04T14:00:00Z,S2FLW,gph,0
2022-05-04T14:00:00Z,N2FLW,gph,13.6
2022-05-04T14:00:00Z,D2FLW,gph,0
2022-05-04T14:00:00Z,S3FLW,gph,0
2022-05-04T14:00:00Z,N3FLW,gph,12.3
2022-05-04T14:00:00Z,D3FLW,gph,0
2022-05-04T14:00:00Z,Tmp-2,Temp,13.8
2022-05-04T14:00:00Z,pH-2,pH,7.8
2022-05-04T14:00:00Z,Tmp-4,Temp,14
2022-05-04T14:00:00Z,pH-4,pH,7.99
2022-05-04T14:10:00Z,Tmp-1,Temp,15.3
2022-05-04T14:10:00Z,pH-1,pH,7.8
2022-05-04T14:10:00Z,Salt-1,Cond,27.7
2022-05-04T14:10:00Z,S1FLW,gph,0
2022-05-04T14:10:00Z,N1FLW,gph,6.7
2022-05-04T14:10:00Z,D1FLW,gph,0
2022-05-04T14:10:00Z,HEATER-2A,Amps,0
